symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status,signal_time,strategy_version,triangle_type,risk_amount,score_total,score_trend_quality,score_zone_quality,score_risk_quality
BTC,15m,short,1779889500000,74845.5585,0.003988304712600429,76120.0,72412.0,1780314300000,72448.20599999999,9.26764606596845,1.8233128925494084,closed,1779888600000,triangle-trend-zones-15m-scoring-v1,ascending,4.92954462477413,89.8091406533091,15.0,20.0,20.0
BTC,15m,short,1780315200000,72419.772,0.007848395670510997,73090.0,71188.0,1780326900000,71223.594,8.82439325045449,1.6775728811687893,closed,1780314300000,triangle-trend-zones-15m-scoring-v1,descending,4.975882855103972,93.11778184419506,20.0,20.0,20.0
BTC,15m,short,1780347600000,71388.288,0.0082975286303409,71788.0,70699.0,1780364700000,70734.3495,4.836440099394309,1.4582428880043747,closed,1780346700000,triangle-trend-zones-15m-scoring-v1,symmetrical,3.012002892813747,72.64031888059529,17.0,6.0,20.0
BTC,15m,short,1780365600000,70605.6795,0.004367261490782005,71788.0,68323.0,1780408800000,68357.1615,9.516422540655675,1.8430168296159908,closed,1780364700000,triangle-trend-zones-15m-scoring-v1,ascending,5.044187021853216,94.58976192768434,20.0,20.0,20.0
BTC,15m,short,1780457400000,66088.939,0.004929108552329617,67155.0,64056.0,1780462800000,67188.5775,-5.748707208027617,-1.0940061199593638,closed,1780456500000,triangle-trend-zones-15m-scoring-v1,symmetrical,5.091769134556494,94.08879875184174,17.0,20.0,20.0
BTC,15m,short,1780479000000,66766.6,0.007456591455841467,67479.0,65442.0,1780515900000,65474.721,9.139979161242184,1.7206040700449439,closed,1780478100000,triangle-trend-zones-15m-scoring-v1,symmetrical,5.063025598516356,75.92377960332001,15.0,10.0,20.0
BTC,15m,short,1780557300000,63745.111500000006,0.005239718455715453,64752.0,61827.0,1780640100000,61857.913499999995,9.559323946096256,1.8119151102629762,closed,1780556400000,triangle-trend-zones-15m-scoring-v1,symmetrical,5.108725494322567,91.34995252207341,17.0,20.0,20.0
BTC,15m,short,1780655400000,62521.7235,0.004388529458768551,63258.0,61143.0,1780667100000,61173.5715,5.644984543888465,1.7470398043398125,closed,1780654500000,triangle-trend-zones-15m-scoring-v1,ascending,3.093913268431829,74.10019237505168,15.0,6.0,20.0
BTC,15m,short,1780668000000,60669.65,0.002026875307573296,63258.0,55584.0,1780869600000,63289.62899999999,-5.435995742335405,-1.0361653715687575,closed,1780667100000,triangle-trend-zones-15m-scoring-v1,symmetrical,5.184747036772491,93.4052821740278,17.0,20.0,20.0
BTC,15m,long,1780873200000,62865.416999999994,0.0025490446744946362,61619.0,65261.0,1781014500000,61588.190500000004,-3.414326310658158,-1.0746429996943208,closed,1780872300000,triangle-trend-zones-15m-scoring-v1,ascending,3.0945402348364883,70.576920995671,20.0,6.0,20.0
