symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status,signal_time,strategy_version,triangle_type,risk_amount,score_total,score_trend_quality,score_zone_quality,score_risk_quality,triangle_cleanliness_score,triangle_wick_violation_count,triangle_close_violation_count,triangle_max_wick_violation,triangle_max_close_violation,triangle_line_tolerance_used
BTC,15m,short,1779154200000,76702.62950000001,0.007587253414264037,77399.0,75422.0,1779261300000,77437.6995,-6.1619132359635245,-1.1662472268713338,closed,1779153300000,triangle-trend-zones-15m-scoring-v1,ascending,5.0,87.08119107914145,11.0,20.0,20.0,18.79553961120541,1,0,0.0004089207775891786,0.0,0.002
BTC,15m,long,1779264000000,77287.62449999999,0.008494342621914843,76663.0,78418.0,1779462000000,76624.6685,-6.285067282487373,-1.1845711247317419,closed,1779263100000,triangle-trend-zones-15m-scoring-v1,ascending,4.969190433820183,80.60712780103441,13.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779463800000,76830.5655,0.0044152892078161655,77540.0,75527.0,1779489000000,75564.7635,5.2524471841044535,1.6768346274391661,closed,1779462900000,triangle-trend-zones-15m-scoring-v1,descending,2.9626590584446473,70.00313479623824,17.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779497100000,75226.368,0.006347861040061724,76051.0,73705.0,1779566400000,76089.02549999999,-5.956294480747091,-1.1378593078488213,closed,1779496200000,triangle-trend-zones-15m-scoring-v1,descending,4.964027333328268,96.46951009831822,20.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779600600000,76617.672,0.015764363772921827,76969.0,76030.0,1779605100000,77007.48449999999,-7.356047479100884,-1.3281750337291458,closed,1779599700000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.934245860924532,79.08293018145122,8.0,16.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1779618600000,77236.599,0.009621739928347795,76689.0,78216.0,1779630300000,76650.65550000001,-6.378127540249032,-1.210533852782769,closed,1779617700000,triangle-trend-zones-15m-scoring-v1,ascending,4.897465623529028,78.00781314402428,20.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779632100000,76417.772,0.0027515032907602915,77534.0,74351.0,1779688800000,77572.76699999999,-3.3898252807138953,-1.103708444421742,closed,1779631200000,triangle-trend-zones-15m-scoring-v1,ascending,2.9193449914966694,71.19701103611273,8.0,6.0,20.0,18.97253634894992,1,0,5.492730210016155e-05,0.0,0.002
BTC,15m,short,1779738300000,77325.318,0.005806737556196663,77865.0,76362.0,1779804900000,77903.9325,-3.8105503070592355,-1.2159551833301743,closed,1779737400000,triangle-trend-zones-15m-scoring-v1,ascending,2.909175515654528,69.56282259768142,10.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1779805800000,77953.95749999999,0.004366702629194319,76809.0,80127.0,1779806700000,76770.59550000001,-5.505208012881565,-1.1011101080171015,closed,1779804900000,triangle-trend-zones-15m-scoring-v1,ascending,4.829573107888917,81.85018178886247,20.0,6.0,20.0,17.510985206638008,2,0,0.0009780295867239846,0.0,0.002
BTC,15m,long,1779837300000,75902.9325,0.0432616852957163,75754.0,76087.0,1779847200000,75716.123,-11.361341731186988,-1.7633426401221808,closed,1779836400000,triangle-trend-zones-15m-scoring-v1,descending,4.8020470678245095,82.56177222116594,8.0,16.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779856200000,75433.2645,0.010248899263863012,75933.0,74544.0,1779867900000,75970.9665,-6.286716987798392,-1.2274575560471412,closed,1779855300000,triangle-trend-zones-15m-scoring-v1,descending,4.745240359168575,80.16443204637666,17.0,6.0,20.0,17.81929236695606,2,0,0.0003614152660878785,0.0,0.002
BTC,15m,short,1779887700000,75348.307,0.00771490470414007,75998.0,74165.0,1779930900000,74202.08249999999,8.266129285320922,1.6491624586535678,closed,1779886800000,triangle-trend-zones-15m-scoring-v1,ascending,4.713806774229583,80.86654936461387,17.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779939000000,73669.147,0.005581147207342943,74557.0,72001.0,1780315200000,72037.0005,8.70264615134341,1.7562517964685567,closed,1779938100000,triangle-trend-zones-15m-scoring-v1,descending,4.755137420656188,97.0710978215202,20.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1780316100000,71996.9835,0.00453987762669149,73090.0,69919.0,1780383600000,69953.9595,8.952858993287046,1.8042257628315843,closed,1780315200000,triangle-trend-zones-15m-scoring-v1,descending,4.798650651412904,96.82275454972219,20.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1780457400000,66088.939,0.004688688234636341,67155.0,64056.0,1780462800000,67188.5775,-5.468310459080708,-1.0940061199593638,closed,1780456500000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.8434149463793394,94.8145560628572,17.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1780499700000,66478.744,0.006707623111537515,67230.0,65076.0,1780519500000,65108.53799999999,8.749506486203655,1.7363087402962816,closed,1780498800000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.8160733940839355,82.0165227356893,20.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
