symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status
BTC,1h,long,1765908000000,87123.54,0.0009656797419703789,86088.0,89061.0,1765980000000,89016.4695,1.7429162516658208,1.7429162516658208,closed
BTC,1h,long,1767477600000,90572.2635,0.0014466263588342198,89881.0,91819.0,1767506400000,91773.0905,1.6052551928461483,1.6052551928461483,closed
BTC,1h,long,1768402800000,96535.2435,0.0005021987516845637,94544.0,100358.0,1768575600000,94496.728,-1.0717079481992018,-1.071707948199202,closed
BTC,1h,short,1769086800000,89933.011,0.002141378062438295,90400.0,89137.0,1769090400000,89181.5685,1.4173464690817186,1.4173464690817186,closed
BTC,1h,short,1769983200000,76451.755,0.0005122307907050613,78404.0,72659.0,1770040800000,78443.20199999999,-1.0597514546073832,-1.0597514546073832,closed
BTC,1h,short,1770130800000,77126.41750000001,0.000522034420339508,79042.0,73414.0,1770141600000,73450.707,1.8795441792509775,1.8795441792509775,closed
BTC,1h,short,1770145200000,73083.44,0.00016782578341075703,79042.0,61279.0,1770336000000,61309.6395,1.9646699807084278,1.9646699807084278,closed
BTC,1h,short,1770451200000,68004.9805,0.0002738960994319536,71656.0,60802.0,1770591600000,71691.828,-1.0289443549260677,-1.0289443549260677,closed
BTC,1h,short,1770634800000,68660.6525,0.00035281488949396596,71495.0,63092.0,1771905600000,63123.545999999995,1.930325904198407,1.9303259041984073,closed
BTC,1h,long,1773612000000,72108.036,0.0011073755642078589,71205.0,73806.0,1773630000000,73769.09700000001,1.7586479758282383,1.7586479758282383,closed
BTC,1h,long,1777744800000,78390.1755,0.0030378931603354665,78061.0,78931.0,1777755600000,78891.53450000001,1.2841725614452304,1.2841725614452306,closed
BTC,1h,long,1777953600000,80890.42499999999,0.0008379244611098391,79697.0,83159.0,1778169600000,79657.1515,-1.1006534036491558,-1.1006534036491558,closed
BTC,1h,long,1778360400000,80795.3775,0.001660088565724975,80193.0,81879.0,1778450400000,81838.0605,1.5959531705616508,1.5959531705616508,closed
