time,equity
1704067200000,1000.0
1704070800000,1000.0
1704074400000,1000.0
1765620000000,1000.0
1765623600000,1000.0
1765627200000,1000.0
1765630800000,1000.0
1765634400000,1000.0
1765638000000,1000.0
1765641600000,1000.0
1765645200000,1000.0
1765648800000,1000.0
1765652400000,1000.0
1765656000000,1000.0
1765659600000,1000.0
1765663200000,1000.0
1765666800000,1000.0
1765670400000,1000.0
1765674000000,1000.0
1765677600000,1000.0
1765681200000,1000.0
1765684800000,1000.0
1765688400000,1000.0
1765692000000,1000.0
1765695600000,1000.0
1765699200000,1000.0
1765702800000,1000.0
1765706400000,1000.0
1765710000000,1000.0
1765713600000,1000.0
1765717200000,1000.0
1765720800000,1000.0
1765724400000,1000.0
1765728000000,1000.0
1765731600000,1000.0
1765735200000,1000.0
1765738800000,1000.0
1765742400000,1000.0
1765746000000,1000.0
1765749600000,1000.0
1765753200000,1000.0
1765756800000,1000.0
1765760400000,1000.0
1765764000000,1000.0
1765767600000,1000.0
1765771200000,1000.0
1765774800000,1000.0
1765778400000,1000.0
1765782000000,1000.0
1765785600000,1000.0
1765789200000,1000.0
1765792800000,1000.0
1765796400000,1000.0
1765800000000,1000.0
1765803600000,1000.0
1765807200000,1000.0
1765810800000,1000.0
1765814400000,1000.0
1765818000000,1000.0
1765821600000,1000.0
1765825200000,1000.0
1765828800000,1000.0
1765832400000,1000.0
1765836000000,1000.0
1765839600000,1000.0
1765843200000,1000.0
1765846800000,1000.0
1765850400000,1000.0
1765854000000,1000.0
1765857600000,1000.0
1765861200000,1000.0
1765864800000,1000.0
1765868400000,1000.0
1765872000000,1000.0
1765875600000,1000.0
1765879200000,1000.0
1765882800000,1000.0
1765886400000,1000.0
1765890000000,1000.0
1765893600000,1000.0
1765897200000,1000.0
1765900800000,1000.0
1765904400000,1000.0
1765908000000,1000.0
1765911600000,1000.0
1765915200000,1000.0
1765918800000,1000.0
1765922400000,1000.0
1765926000000,1000.0
1765929600000,1000.0
1765933200000,1000.0
1765936800000,1000.0
1765940400000,1000.0
1765944000000,1000.0
1765947600000,1000.0
1765951200000,1000.0
1765954800000,1000.0
1765958400000,1000.0
1765962000000,1000.0
1765965600000,1000.0
1765969200000,1000.0
1765972800000,1000.0
1765976400000,1000.0
1765980000000,1009.1062537600909
1765983600000,1009.1062537600909
1765987200000,1009.1062537600909
1765990800000,1009.1062537600909
1765994400000,1009.1062537600909
1765998000000,1009.1062537600909
1766001600000,1009.1062537600909
1766005200000,1009.1062537600909
1766008800000,1009.1062537600909
1766012400000,1009.1062537600909
1766016000000,1009.1062537600909
1766019600000,1009.1062537600909
1766023200000,1009.1062537600909
1766026800000,1009.1062537600909
1766030400000,1009.1062537600909
1766034000000,1009.1062537600909
1766037600000,1009.1062537600909
1766041200000,1009.1062537600909
1766044800000,1009.1062537600909
1766048400000,1009.1062537600909
1766052000000,1009.1062537600909
1766055600000,1009.1062537600909
1766059200000,1009.1062537600909
1766062800000,1009.1062537600909
1766066400000,1009.1062537600909
1766070000000,1009.1062537600909
1766073600000,1009.1062537600909
1766077200000,1009.1062537600909
1766080800000,1009.1062537600909
1766084400000,1009.1062537600909
1766088000000,1009.1062537600909
1766091600000,1009.1062537600909
1766095200000,1009.1062537600909
1766098800000,1009.1062537600909
1766102400000,1009.1062537600909
1766106000000,1009.1062537600909
1766109600000,1009.1062537600909
1766113200000,1009.1062537600909
1766116800000,1009.1062537600909
1766120400000,1009.1062537600909
1766124000000,1009.1062537600909
1766127600000,1009.1062537600909
