symbol,timeframe,decision,side,score,reasons,entry_price,stop_loss,take_profit,reward_risk,strategy_version,triangle_type,open_time,position_size,risk_amount,metadata
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,not enough candles,,,,,triangle-trend-zones-15m-scoring-v1,,,,,{}
BTC,15m,no_setup,,0.0,no triangle candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1779138000000,,,"{""candidate_count"": 0, ""triangle_candidates_found"": 0, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no triangle candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1779138900000,,,"{""candidate_count"": 0, ""triangle_candidates_found"": 0, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no triangle candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1779139800000,,,"{""candidate_count"": 0, ""triangle_candidates_found"": 0, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no triangle candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1779140700000,,,"{""candidate_count"": 0, ""triangle_candidates_found"": 0, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
BTC,15m,no_setup,,0.0,no triangle candidates,,,,,triangle-trend-zones-15m-scoring-v1,,1779141600000,,,"{""candidate_count"": 0, ""triangle_candidates_found"": 0, ""breakout_candidates_found"": 0, ""scored_candidates"": 0, ""rejected_by_absolute_risk"": 0, ""rejected_by_score"": 0}"
