symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status,signal_time,strategy_version,triangle_type,risk_amount,score_total,score_trend_quality,score_zone_quality,score_risk_quality,triangle_cleanliness_score,triangle_wick_violation_count,triangle_close_violation_count,triangle_max_wick_violation,triangle_max_close_violation,triangle_line_tolerance_used
BTC,15m,short,1779154200000,76702.62950000001,0.007180085888187498,77399.0,75422.0,1779261300000,77437.6995,-5.8312361343566685,-1.1662472268713338,closed,1779153300000,triangle-trend-zones-15m-scoring-v1,ascending,5.0,87.08119107914145,11.0,20.0,20.0,18.79553961120541,1,0,0.0004089207775891786,0.0,0.002
BTC,15m,long,1779264000000,77287.62449999999,0.007958131356244095,76663.0,78418.0,1779462000000,76624.6685,-5.8883180539274536,-1.184571124731742,closed,1779263100000,triangle-trend-zones-15m-scoring-v1,ascending,4.970843819328216,80.60712780103441,13.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779463800000,76830.5655,0.00417916148345638,77540.0,75527.0,1779489000000,75564.7635,4.971548619474304,1.676834627439166,closed,1779462900000,triangle-trend-zones-15m-scoring-v1,descending,2.9648413374351477,70.00313479623824,17.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779497100000,75226.368,0.006022395410505491,76051.0,73705.0,1779566400000,76089.02549999999,-5.650905134514677,-1.137859307848821,closed,1779496200000,triangle-trend-zones-15m-scoring-v1,descending,4.966259972155951,96.46951009831822,20.0,20.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779600600000,76617.672,0.014055257327863026,76969.0,76030.0,1779605100000,77007.48449999999,-6.558535550437766,-1.3281750337291458,closed,1779599700000,triangle-trend-zones-15m-scoring-v1,symmetrical,4.938005446483378,79.08293018145122,8.0,16.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1779618600000,77236.599,0.008957672984667925,76689.0,78216.0,1779630300000,76650.65550000001,-5.9379261116514,-1.2105338527827691,closed,1779617700000,triangle-trend-zones-15m-scoring-v1,ascending,4.905212768731189,78.00781314402428,20.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,short,1779632100000,76417.772,0.0026207135844144307,77534.0,74351.0,1779688800000,77572.76699999999,-3.2286936351450333,-1.103708444421742,closed,1779631200000,triangle-trend-zones-15m-scoring-v1,ascending,2.9253138829037586,71.19701103611273,8.0,6.0,20.0,18.97253634894992,1,0,5.492730210016155e-05,0.0,0.002
BTC,15m,short,1779738300000,77325.318,0.005402492212077334,77865.0,76362.0,1779804900000,77903.9325,-3.545272738501425,-1.2159551833301745,closed,1779737400000,triangle-trend-zones-15m-scoring-v1,ascending,2.9156278019983235,69.56282259768142,10.0,6.0,20.0,20.0,0,0,0.0,0.0,0.002
BTC,15m,long,1779805800000,77953.95749999999,0.004228675131002455,76809.0,80127.0,1779806700000,76770.59550000001,-5.331193395086524,-1.1011101080171015,closed,1779804900000,triangle-trend-zones-15m-scoring-v1,ascending,4.841653306304699,81.85018178886247,20.0,6.0,20.0,17.510985206638008,2,0,0.0009780295867239846,0.0,0.002
BTC,15m,long,1779837300000,75902.9325,0.03233006455494547,75754.0,76087.0,1779847200000,75716.123,-8.490490120514144,-1.7633426401221808,closed,1779836400000,triangle-trend-zones-15m-scoring-v1,descending,4.814997339329266,82.56177222116594,8.0,16.0,20.0,20.0,0,0,0.0,0.0,0.002
