symbol,timeframe,side,entry_time,entry_price,size,stop_loss,take_profit,exit_time,exit_price,pnl,r_multiple,status,signal_time,strategy_version,triangle_type,risk_amount
BTC,1h,long,1765908000000,87123.54,0.005045408678102927,86088.0,89061.0,1765980000000,89016.4695,9.106253760090883,1.742916251665821,closed,1765904400000,triangle-trend-zones-v1,symmetrical,5.0
BTC,1h,long,1767477600000,90572.2635,0.007810419920743737,89881.0,91819.0,1767506400000,91773.0905,8.666866229498643,1.6052551928461483,closed,1767474000000,triangle-trend-zones-v1,ascending,5.045531268800454
BTC,1h,long,1768402800000,96535.2435,0.0026258336429039976,94544.0,100358.0,1768575600000,94496.728,-5.603611670298737,-1.0717079481992018,closed,1768399200000,triangle-trend-zones-v1,symmetrical,5.0888655999479475
BTC,1h,short,1769086800000,89933.011,0.012021015538233856,90400.0,89137.0,1769090400000,89181.5685,7.95653239694249,1.4173464690817188,closed,1769083200000,triangle-trend-zones-v1,ascending,5.060847541596454
BTC,1h,short,1769983200000,76451.755,0.0026635144666220193,78404.0,72659.0,1770040800000,78443.20199999999,-5.5105303733991295,-1.059751454607383,closed,1769979600000,triangle-trend-zones-v1,symmetrical,5.100630203581167
BTC,1h,short,1770130800000,77126.41750000001,0.0027041991213828205,79042.0,73414.0,1770141600000,73450.707,9.736257840671023,1.879544179250977,closed,1770127200000,triangle-trend-zones-v1,descending,5.073077551714171
BTC,1h,short,1770145200000,73083.44,0.0008650158488291719,79042.0,61279.0,1770336000000,61309.6395,10.126397961582605,1.964669980708428,closed,1770141600000,triangle-trend-zones-v1,descending,5.1217588409175265
BTC,1h,short,1770451200000,68004.9805,0.0014296270952806633,71656.0,60802.0,1770591600000,71691.828,-5.370674253445677,-1.028944354926068,closed,1770447600000,triangle-trend-zones-v1,ascending,5.17239083072544
BTC,1h,short,1770634800000,68660.6525,0.0018370358655688008,71495.0,63092.0,1771905600000,63123.545999999995,10.050817082394268,1.930325904198407,closed,1770631200000,triangle-trend-zones-v1,ascending,5.145537459458211
BTC,1h,long,1773612000000,72108.036,0.005992839152099403,71205.0,73806.0,1773630000000,73769.09700000001,9.517362297806276,1.7586479758282376,closed,1773608400000,triangle-trend-zones-v1,ascending,5.195791544870183
BTC,1h,long,1777744800000,78390.1755,0.01808061502192833,78061.0,78931.0,1777755600000,78891.53450000001,7.64300404252888,1.2841725614452302,closed,1777741200000,triangle-trend-zones-v1,symmetrical,5.243378356359215
BTC,1h,long,1777953600000,80890.42499999999,0.004576770690270242,79697.0,83159.0,1778169600000,79657.1515,-6.011804729146471,-1.100653403649156,closed,1777950000000,triangle-trend-zones-v1,ascending,5.281593376571859
BTC,1h,long,1778360400000,80795.3775,0.009344367176025136,80193.0,81879.0,1778450400000,81838.0605,8.983359520313801,1.595953170561651,closed,1778356800000,triangle-trend-zones-v1,ascending,5.251534352926127
